iunno :(0.7079111111111112              precision    recall  f1-score   support

         AFb       0.00      0.00      0.00       309
         AFt       0.00      0.00      0.00         0
          SR       0.65      1.00      0.79      2640
         SVT       0.00      0.00      0.00       129
         VFb       0.00      0.00      0.00       289
         VFt       0.00      0.00      0.00        95
         VPD       0.00      0.00      0.00       158
          VT       0.86      0.67      0.76      2005

   micro avg       0.71      0.71      0.71      5625
   macro avg       0.19      0.21      0.19      5625
weighted avg       0.61      0.71      0.64      5625
