F-1,F-B,SEN,SPE,BAC,ACC,PPV,NPV
0.8234,0.80269,0.78945,0.90544,0.84745,0.85618,0.8604,0.85348
F-1,F-B,SEN,SPE,BAC,ACC,PPV,NPV
0.93099,0.93146,0.93177,0.94839,0.94008,0.94133,0.93021,0.94957
F-1,F-B,SEN,SPE,BAC,ACC,PPV,NPV
0.84635,0.80111,0.77355,0.95983,0.86669,0.88071,0.93428,0.85166
F-1,F-B,SEN,SPE,BAC,ACC,PPV,NPV
0.86621,0.83262,0.81164,0.95396,0.8828,0.89351,0.92864,0.87277
F-1,F-B,SEN,SPE,BAC,ACC,PPV,NPV
0.87043,0.84104,0.82252,0.95025,0.88638,0.896,0.92427,0.87882
F-1,F-B,SEN,SPE,BAC,ACC,PPV,NPV
0.81386,0.77571,0.7522,0.92892,0.84056,0.85387,0.88653,0.83546
