F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.85134,0.81867,0.79824,0.94314,0.87069,0.8816,0.912,0.86361
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.80144,0.76718,0.74592,0.91471,0.83031,0.84302,0.86589,0.82983
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.87701,0.86556,0.8581,0.92707,0.89259,0.89778,0.89676,0.89847
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.9102,0.90757,0.90582,0.93758,0.9217,0.92409,0.91462,0.93096
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.88379,0.88545,0.88656,0.91162,0.89909,0.90098,0.88103,0.91586
